x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,4.95058e-10,2.32359e-10
1,2,1,4.79929e-10,-2.33136e-10
1,3,1,4.49718e-10,2.2939e-10
1,4,1,4.06859e-10,-2.33426e-10
1,5,1,3.50933e-10,2.27151e-10
1,6,1,2.84852e-10,-2.33822e-10
1,7,1,2.09746e-10,2.2569e-10
1,8,1,1.28532e-10,-2.34106e-10
1,9,1,4.32491e-11,2.25041e-10
1,10,1,-4.32847e-11,-2.34154e-10
1,11,1,-1.2847e-10,2.25234e-10
1,12,1,-2.09886e-10,-2.33941e-10
1,13,1,-2.84697e-10,2.26246e-10
1,14,1,-3.512e-10,-2.33512e-10
1,15,1,-4.06627e-10,2.27992e-10
1,16,1,-4.50186e-10,-2.32991e-10
1,17,1,-4.79644e-10,2.30419e-10
1,18,1,-4.95293e-10,-2.32859e-10
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-4.94043e-10,2.25684e-10
2,2,1,-4.78212e-10,-2.24915e-10
2,3,1,-4.48285e-10,2.23905e-10
2,4,1,-4.0531e-10,-2.24137e-10
2,5,1,-3.4976e-10,2.2292e-10
2,6,1,-2.83771e-10,-2.23673e-10
2,7,1,-2.09039e-10,2.22289e-10
2,8,1,-1.28044e-10,-2.23413e-10
2,9,1,-4.31048e-11,2.22008e-10
2,10,1,4.31239e-11,-2.23352e-10
2,11,1,1.28032e-10,2.22084e-10
2,12,1,2.09095e-10,-2.23483e-10
2,13,1,2.83732e-10,2.22513e-10
2,14,1,3.49867e-10,-2.23819e-10
2,15,1,4.05236e-10,2.23297e-10
2,16,1,4.48441e-10,-2.24363e-10
2,17,1,4.77882e-10,2.24211e-10
2,18,1,4.92767e-10,-2.25076e-10
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,4.9131e-10,2.10867e-10
3,2,1,4.77026e-10,-2.10454e-10
3,3,1,4.47573e-10,2.10202e-10
3,4,1,4.04522e-10,-2.09979e-10
3,5,1,3.49198e-10,2.09543e-10
3,6,1,2.83238e-10,-2.09441e-10
3,7,1,2.087e-10,2.09084e-10
3,8,1,1.27805e-10,-2.09143e-10
3,9,1,4.30363e-11,2.08886e-10
3,10,1,-4.30446e-11,-2.09079e-10
3,11,1,-1.2782e-10,2.08947e-10
3,12,1,-2.08706e-10,-2.09254e-10
3,13,1,-2.83266e-10,2.09269e-10
3,14,1,-3.49209e-10,-2.09661e-10
3,15,1,-4.04564e-10,2.0983e-10
3,16,1,-4.47627e-10,-2.10319e-10
3,17,1,-4.7724e-10,2.10784e-10
3,18,1,-4.93002e-10,-2.11863e-10
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-4.92407e-10,1.91315e-10
4,2,1,-4.76444e-10,-1.90457e-10
4,3,1,-4.46877e-10,1.8999e-10
4,4,1,-4.03821e-10,-1.89667e-10
4,5,1,-3.48605e-10,1.89409e-10
4,6,1,-2.82755e-10,-1.89222e-10
4,7,1,-2.08345e-10,1.89044e-10
4,8,1,-1.27587e-10,-1.88957e-10
4,9,1,-4.2963e-11,1.88882e-10
4,10,1,4.29713e-11,-1.88905e-10
4,11,1,1.27603e-10,1.88939e-10
4,12,1,2.0835e-10,-1.8907e-10
4,13,1,2.82783e-10,1.89217e-10
4,14,1,3.48605e-10,-1.89461e-10
4,15,1,4.03856e-10,1.8974e-10
4,16,1,4.46808e-10,-1.90079e-10
4,17,1,4.7605e-10,1.90298e-10
4,18,1,4.89854e-10,-1.90821e-10
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,4.88833e-10,1.6463e-10
5,2,1,4.75296e-10,-1.64212e-10
5,3,1,4.46171e-10,1.64026e-10
5,4,1,4.03255e-10,-1.63758e-10
5,5,1,3.48105e-10,1.63512e-10
5,6,1,2.82369e-10,-1.63329e-10
5,7,1,2.08051e-10,1.63189e-10
5,8,1,1.27413e-10,-1.63105e-10
5,9,1,4.29033e-11,1.63056e-10
5,10,1,-4.29105e-11,-1.63064e-10
5,11,1,-1.27421e-10,1.63108e-10
5,12,1,-2.0806e-10,-1.6321e-10
5,13,1,-2.8238e-10,1.63349e-10
5,14,1,-3.48117e-10,-1.63538e-10
5,15,1,-4.03279e-10,1.63757e-10
5,16,1,-4.46225e-10,-1.64051e-10
5,17,1,-4.75718e-10,1.64439e-10
5,18,1,-4.91821e-10,-1.65198e-10
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-4.91474e-10,1.33938e-10
6,2,1,-4.7519e-10,-1.33334e-10
